Gun,Chip,Bib,City,State,Age,Gender
5955,5930,3296,Houston,TX,61,M
5954,5931,2923,Austin,TX,37,F
5956,5931,6466,Rio Rancho,NM,41,M
5985,5932,6707,Lubbock,TX,29,F
5972,5932,3966,Austin,TX,26,M
5955,5932,1192,Austin,TX,44,M
5963,5933,7066,Austin,TX,30,M
5973,5933,3081,Austin,TX,33,M
5985,5933,2829,Austin,TX,40,M
5962,5934,2484,Austin,TX,56,M
5967,5934,6777,Austin,TX,30,M
5973,5934,3965,Austin,TX,27,F
5969,5935,6410,Denver,CO,34,M
6000,5938,4131,Austin,TX,26,F
5951,5938,5202,Denton,TX,50,M
5974,5939,2037,Cedar Park,TX,49,M
5947,5939,2800,Amarillo,TX,56,M
6078,5940,2706,Austin,TX,22,F
5950,5940,3026,Austin,TX,37,M
5970,5943,3307,Austin,TX,37,F
5996,5945,6932,Austin,TX,27,M
5997,5948,6327,Edmonton,NONUS,52,M
5966,5949,162,Yardley,PA,50,M
5971,5949,3130,Austin,TX,24,F
5980,5949,3327,Austin,TX,52,M
5970,5950,1287,Austin,TX,33,F
6099,5951,3278,Austin,TX,36,F
5996,5951,5221,Tyler,TX,34,F
6100,5953,3279,Austin,TX,37,M
5997,5954,6576,Midland,TX,33,M
5977,5954,1581,Round Rock,TX,60,M
5982,5954,6002,San Antonio,TX,54,M
5985,5955,5979,Cedar Park,TX,48,M
5990,5955,7536,Dallas,TX,54,M
5996,5960,925,Austin,TX,49,M
5986,5961,2544,Pflugerville,TX,49,M
6066,5962,7469,Arlington,TX,39,M
6001,5964,4728,Mequon,WI,59,M
5997,5966,5786,San Antonio,TX,40,F
6024,5966,1640,Round Rock,TX,16,M
6036,5968,5835,Atlanta,GA,36,M
5997,5968,598,Austin,TX,38,F
6074,5968,6619,Austin,TX,23,M
5997,5968,4986,Lamar,CO,55,M
5994,5969,3918,Austin,TX,52,M
6090,5970,1888,Austin,TX,35,M
5999,5970,1894,Raleigh,NC,46,M
5992,5971,3599,Austin,TX,50,M
5990,5972,7675,Austin,TX,36,F
5991,5972,3606,Austin,TX,53,F
5995,5972,7335,Platte City,MO,32,F
6007,5973,4054,Austin,TX,38,F
5986,5973,6046,Georgetown,TX,56,M
5995,5975,5582,Wichita Falls,TX,33,F
6018,5975,746,San Antonio,TX,37,M
5995,5976,7547,Austin,TX,24,F
6116,5977,491,Cedar Park,TX,38,M
6016,5977,7577,Austin,TX,34,M
6044,5978,574,Harrison,NJ,39,M
6000,5979,5312,Austin,TX,55,F
6011,5979,4769,Austin,TX,49,M
6000,5981,6096,Austin,TX,43,F
6016,5981,1610,Austin,TX,47,F
6001,5982,3911,Austin,TX,24,F
6031,5982,729,Austin,TX,36,M
6009,5982,420,Austin,TX,58,M
6010,5982,291,New Braunfels,TX,49,F
6039,5983,7578,Austin,TX,39,M
6022,5988,5765,Sam Antonio,TX,56,M
6168,5989,7740,Austin,TX,36,M
6038,5989,6917,Midland,TX,32,M
6171,5990,7065,Austin,TX,29,M
6025,5990,6306,San Antonio,TX,36,F
6041,5991,3996,Austin,TX,29,M
6007,5992,646,Austin,TX,60,M
6009,5992,1410,Leander,TX,60,F
6052,5994,1890,Austin,TX,46,M
6061,5997,2183,Austin,TX,40,M
6177,5998,6933,Buda,TX,40,F
6055,5998,630,Austin,TX,42,M
6049,6000,6499,Sugar Land,TX,39,M
6026,6002,6680,Austin,TX,48,M
6026,6003,7545,Austin,TX,35,F
6053,6004,3097,Austin,TX,19,F
6412,6006,5988,Leander,TX,39,F
6021,6008,7726,Dallas,TX,54,M
6141,6008,1002,Austin,TX,37,F
6109,6011,6236,New York,NY,29,M
